Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
762,84,Pawn Sacrifice,2014,PG-13,1h 55min,Biography; Drama; Sport; ,25 September 2015 (USA),7.0,38338,121,https://www.imdb.com/title/tt1596345/reviews/_ajax?ref_=undefined&paginationKey=,762,pawn sacrifice,tt1596345,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire."
763,85,Radio,2003,PG,1h 49min,Biography; Drama; Sport; ,24 October 2003 (USA),6.9,37537,202,https://www.imdb.com/title/tt0316465/reviews/_ajax?ref_=undefined&paginationKey=,763,radio,tt0316465,The story of a high school coach and the developmentally challenged man who he took under his wing.
764,86,Sultan,2016,Not Rated,2h 50min,Action; Drama; Sport; ,6 July 2016 (USA),7.0,35954,156,https://www.imdb.com/title/tt4832640/reviews/_ajax?ref_=undefined&paginationKey=,764,sultan,tt4832640,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds."
765,87,The Ringer,2005,PG-13,1h 34min,Comedy; Sport; ,23 December 2005 (USA),5.8,34713,163,https://www.imdb.com/title/tt0267891/reviews/_ajax?ref_=undefined&paginationKey=,765,the ringer,tt0267891,A young guy's only option to erase a really bad debt is to rig the Special Olympics by posing as a contestant.
766,88,"McFarland, USA",2015,PG,2h 9min,Biography; Drama; Sport; ,20 February 2015 (USA),7.4,34319,106,https://www.imdb.com/title/tt2097298/reviews/_ajax?ref_=undefined&paginationKey=,766,"mcfarland, usa",tt2097298,"Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region."
767,89,Slap Shot,1977,R,2h 3min,Comedy; Drama; Sport; ,25 February 1977 (USA),7.3,33455,164,https://www.imdb.com/title/tt0076723/reviews/_ajax?ref_=undefined&paginationKey=,767,slap shot,tt0076723,A failing ice hockey team finds success with outrageously violent hockey goonery.
768,90,M.S. Dhoni: The Untold Story,2016,Not Rated,3h 4min,Biography; Drama; Sport; ,30 September 2016 (USA),7.7,32250,161,https://www.imdb.com/title/tt4169250/reviews/_ajax?ref_=undefined&paginationKey=,768,m.s. dhoni: the untold story,tt4169250,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
769,91,The Cannonball Run,1981,PG,1h 35min,Action; Comedy; Sport; ,19 June 1981 (USA),6.3,32189,130,https://www.imdb.com/title/tt0082136/reviews/_ajax?ref_=undefined&paginationKey=,769,the cannonball run,tt0082136,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks."
770,92,The Rookie,2002,G,2h 7min,Drama; Sport; ,29 March 2002 (USA),6.9,31474,176,https://www.imdb.com/title/tt0265662/reviews/_ajax?ref_=undefined&paginationKey=,770,the rookie,tt0265662,A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.
771,93,For Love of the Game,1999,PG-13,2h 17min,Drama; Romance; Sport; ,17 September 1999 (USA),6.6,30972,241,https://www.imdb.com/title/tt0126916/reviews/_ajax?ref_=undefined&paginationKey=,771,for love of the game,tt0126916,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there."
